Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
ROCTOOL;FR0010523167;ALROC;"Euronext Growth Paris";EUR;1.83;1.835;1.83;1.835;"12/12/2023 17:35";CET;210;384.35;1.835;12/12/2023
"ROCTOOL BSA 2020-2";FR0013477593;ROCBT;"Euronext Growth Paris";EUR;0.01;0.01;0.01;0.01;"18/04/2023 16:45";CET;10;0.10;0.01;12/12/2023
"ROUGIER S.A.";FR0000037640;ALRGR;"Euronext Growth Paris";EUR;14.50;14.90;14.50;14.90;"08/12/2023 15:12";CET;10;145.40;14.90;12/12/2023
RUBIS;FR0013269123;RUI;"Euronext Paris";EUR;22.14;22.20;21.90;22.02;"12/12/2023 17:38";CET;327869;7223425.70;22.02;12/12/2023
S.E.B.;FR0000121709;SK;"Euronext Paris";EUR;110.90;111.80;110.70;111.30;"12/12/2023 17:35";CET;52195;5808135.10;111.30;12/12/2023
SAFE;FR001400F1V2;ALSAF;"Euronext Growth Paris";EUR;0.0103;0.0103;0.0092;0.0093;"12/12/2023 17:23";CET;217361;2176.58;0.0093;12/12/2023
SAFRAN;FR0000073272;SAF;"Euronext Paris";EUR;165.38;167.48;164.50;167.48;"12/12/2023 17:35";CET;471202;78635507.10;167.48;12/12/2023
"SAGAX REAL ESTATE";ES0105651006;MLSAG;"Euronext Access Paris";EUR;1.1385;1.1385;1.1385;1.1385;"14/06/2022 00:00";CET;-;-;1.14;12/12/2023
"SAINT GOBAIN";FR0000125007;SGO;"Euronext Paris, Amsterdam, Brussels";EUR;62.79;63.55;62.70;63.01;"12/12/2023 17:35";CET;913618;57623084.11;63.01;12/12/2023
"SAINT JEAN GROUPE";FR0000060121;SABE;"Euronext Paris";EUR;20.00;20.00;20.00;20.00;"11/12/2023 16:30";CET;30;600.00;-;-
SAMSE;FR0000060071;SAMS;"Euronext Paris";EUR;191.00;191.00;181.50;183.00;"12/12/2023 17:35";CET;720;132349.00;183.00;12/12/2023
SANOFI;FR0000120578;SAN;"Euronext Paris";EUR;87.09;88.37;86.96;87.87;"12/12/2023 17:35";CET;1558861;137016910.87;87.87;12/12/2023
SAPMER;FR0010776617;ALMER;"Euronext Growth Paris";EUR;8.80;8.80;8.65;8.65;"12/12/2023 16:30";CET;66;576.60;8.65;12/12/2023
"SARTORIUS STED BIO";FR0013154002;DIM;"Euronext Paris";EUR;209.10;210.50;206.60;209.00;"12/12/2023 17:36";CET;66382;13845480.70;209.00;12/12/2023
SAVENCIA;FR0000120107;SAVE;"Euronext Paris";EUR;53.20;53.20;52.20;52.80;"12/12/2023 17:35";CET;618;32452.40;52.80;12/12/2023
"SAVONNERIE NYONS";FR0013155975;MLSDN;"Euronext Access Paris";EUR;30.80;30.80;30.80;30.80;"11/12/2023 16:30";CET;2;61.60;30.80;12/12/2023
SCBSM;FR0006239109;CBSM;"Euronext Paris";EUR;8.75;8.75;8.70;8.70;"12/12/2023 09:51";CET;750;6556.55;8.70;12/12/2023
SCEMI;FR0010972091;MLCMI;"Euronext Access Paris";EUR;4.24;4.24;4.24;4.24;"15/11/2023 16:30";CET;241;1021.84;4.24;12/12/2023
SCHLUMBERGER;AN8068571086;SLB;"Euronext Paris";EUR;45.825;45.845;44.715;45.31;"12/12/2023 17:35";CET;6745;305443.02;45.31;12/12/2023
"SCHNEIDER ELECTRIC";FR0000121972;SU;"Euronext Paris";EUR;176.58;177.84;176.40;176.96;"12/12/2023 17:39";CET;707467;125270536.76;176.96;12/12/2023
"SCIENTIA SCHOOL";ES0105592002;MLSCI;"Euronext Access Paris";EUR;5.65;5.65;5.65;5.65;"24/03/2023 11:30";CET;1000;5650.00;5.65;12/12/2023
"SCOR SE";FR0010411983;SCR;"Euronext Paris";EUR;27.28;27.69;27.08;27.69;"12/12/2023 17:35";CET;483886;13365049.68;27.69;12/12/2023
"SECHE ENVIRONNEM.";FR0000039109;SCHP;"Euronext Paris";EUR;104.40;105.00;99.80;101.40;"12/12/2023 17:35";CET;7982;814090.80;101.40;12/12/2023
"SEGRO PLC";GB00B5ZN1N88;SGRO;"Euronext Paris";EUR;11.30;11.30;11.30;11.30;"07/04/2021 13:45";CET;500;5650.00;11.00;12/12/2023
"SEIF SPA";IT0005353484;ALSEI;"Euronext Growth Paris";EUR;0.27;0.27;0.27;0.27;"13/10/2023 16:12";CET;2539;685.53;0.27;12/12/2023
SELCODIS;FR0000065492;SLCO;"Euronext Paris";EUR;0.29;0.29;0.29;0.29;"25/03/2009 00:00";CET;2074;601.46;0.29;12/12/2023
SELECTIRENTE;FR0004175842;SELER;"Euronext Paris";EUR;91.00;91.00;91.00;91.00;"12/12/2023 11:30";CET;1;91.00;91.00;12/12/2023
"SEMPLICEMENTE SpA";IT0005072811;MLSMP;"Euronext Access Paris";EUR;0.81;0.81;0.81;0.81;"05/08/2016 15:00";CET;100;81.00;0.81;12/12/2023
SENSORION;FR0012596468;ALSEN;"Euronext Growth Paris";EUR;0.445;0.485;0.445;0.4745;"12/12/2023 17:35";CET;56056;26388.53;0.4745;12/12/2023
"SEQUA PETROLEUM NV";NL0010623518;MLSEQ;"Euronext Access Paris";EUR;0.0105;0.0105;0.0105;0.0105;"12/12/2023 16:30";CET;901;9.46;0.0105;12/12/2023
"SERGEFERRARI GROUP";FR0011950682;SEFER;"Euronext Paris";EUR;7.46;7.71;7.46;7.47;"12/12/2023 17:28";CET;3187;23896.07;7.47;12/12/2023
SES;LU0088087324;SESG;"Euronext Paris";EUR;5.485;5.485;5.25;5.28;"12/12/2023 17:37";CET;633401;3368042.09;5.28;12/12/2023
"SES IMAGOTAG";FR0010282822;SESL;"Euronext Paris";EUR;109.00;111.00;108.60;109.00;"12/12/2023 17:35";CET;15582;1707637.40;109.00;12/12/2023
SHOWROOMPRIVE;FR0013006558;SRP;"Euronext Paris";EUR;1.036;1.036;1.004;1.012;"12/12/2023 17:35";CET;41457;42040.14;1.012;12/12/2023
SIDETRADE;FR0010202606;ALBFR;"Euronext Growth Paris";EUR;144.00;145.00;143.50;145.00;"12/12/2023 17:28";CET;301;43465.00;145.00;12/12/2023
"SIGNAUX GIROD";FR0000060790;ALGIR;"Euronext Growth Paris";EUR;14.90;14.90;14.90;14.90;"12/12/2023 09:12";CET;204;3039.60;14.90;12/12/2023
SII;FR0000074122;SII;"Euronext Paris";EUR;52.90;53.40;52.60;52.90;"08/12/2023 17:35";CET;16367;867623.10;52.90;12/12/2023
SILC;FR0010679365;MLSIL;"Euronext Access Paris";EUR;0.416;0.416;0.416;0.416;"22/03/2021 16:30";CET;150;62.40;0.416;12/12/2023
SIMAT;CI0000000832;MLMAT;"Euronext Access Paris";EUR;2.20;2.20;2.20;2.20;"13/11/2019 11:30";CET;10;22.00;2.20;12/12/2023
"SIRIUS MEDIA";FR0010812230;ALSRS;"Euronext Growth Paris";EUR;0.66;0.72;0.60;0.644;"12/12/2023 17:35";CET;175843;115750.01;0.644;12/12/2023
SMAIO;FR0014005I80;ALSMA;"Euronext Growth Paris";EUR;2.54;2.54;2.46;2.46;"12/12/2023 15:47";CET;1059;2638.00;2.46;12/12/2023
SMALTO;FR0011131788;MLSML;"Euronext Access Paris";EUR;0.0145;0.0145;0.0145;0.0145;"12/12/2023 14:52";CET;1560;22.62;0.0145;12/12/2023
"SMALTO BSA";FR0010649228;SMLBS;"Euronext Access Paris";EUR;0.04;0.04;0.04;0.04;"27/12/2016 15:30";CET;115298;4611.92;0.04;12/12/2023
"SMART GOOD THINGS";FR001400LBS6;MLSGT;"Euronext Access Paris";EUR;20.20;20.20;20.20;20.20;"20/10/2023 00:00";CET;400;8080.00;17.498;12/12/2023
SMCP;FR0013214145;SMCP;"Euronext Paris";EUR;3.345;3.385;3.145;3.145;"12/12/2023 17:35";CET;178095;572955.15;3.145;12/12/2023
SMTPC;FR0004016699;ALTPC;"Euronext Growth Paris";EUR;27.60;27.80;27.60;27.70;"12/12/2023 17:35";CET;287;7960.40;27.70;12/12/2023
"SOC FRANC CASINOS";FR0010209809;SFCA;"Euronext Paris";EUR;1.81;1.81;1.81;1.81;"12/12/2023 11:30";CET;150;271.50;1.81;12/12/2023
"SOCIETE GENERALE";FR0000130809;GLE;"Euronext Paris";EUR;23.83;23.89;23.635;23.71;"12/12/2023 17:35";CET;1783865;42317218.73;23.71;12/12/2023
SODEXO;FR0000121220;SW;"Euronext Paris";EUR;100.25;100.90;99.98;100.40;"12/12/2023 17:39";CET;123523;12401633.12;100.40;12/12/2023
SODITECH;FR0000078321;SEC;"Euronext Paris";EUR;1.25;1.25;1.25;1.25;"08/12/2023 11:30";CET;1986;2482.50;1.25;12/12/2023
SOGECLAIR;FR0000065864;ALSOG;"Euronext Growth Paris";EUR;18.70;18.95;18.70;18.95;"12/12/2023 13:26";CET;181;3418.20;18.95;12/12/2023
SOITEC;FR0013227113;SOI;"Euronext Paris";EUR;162.95;167.90;162.95;167.90;"12/12/2023 17:35";CET;91261;15234640.95;167.90;12/12/2023
"SOLOCAL GROUP";FR00140006O9;LOCAL;"Euronext Paris";EUR;0.0852;0.0888;0.0852;0.0864;"12/12/2023 17:26";CET;171147;14991.77;0.0864;12/12/2023
"SOLUTIONS 30 SE";FR0013379484;S30;"Euronext Paris";EUR;2.30;2.302;2.254;2.27;"12/12/2023 17:35";CET;187064;425234.05;2.27;12/12/2023
SOLVAY;BE0003470755;SOLB;"Euronext Brussels, Paris";EUR;20.79;22.37;20.75;22.14;"12/12/2023 17:37";CET;3236690;70509598.88;22.14;12/12/2023
"SOPRA STERIA GROUP";FR0000050809;SOP;"Euronext Paris";EUR;190.20;190.80;188.80;189.80;"12/12/2023 17:35";CET;27302;5182056.70;189.80;12/12/2023
SPARTOO;FR00140043Y1;ALSPT;"Euronext Growth Paris";EUR;0.41;0.42;0.41;0.411;"12/12/2023 16:02";CET;15422;6396.55;0.411;12/12/2023
"SPEED RABBIT PIZZA";FR0000054371;MLSRP;"Euronext Access Paris";EUR;14.90;14.90;14.90;14.90;"12/10/2023 12:52";CET;375;5587.50;14.90;12/12/2023
SPIE;FR0012757854;SPIE;"Euronext Paris";EUR;28.36;28.48;28.20;28.44;"12/12/2023 17:35";CET;192034;5457603.28;28.44;12/12/2023
SPINEGUARD;FR0011464452;ALSGD;"Euronext Growth Paris";EUR;0.2065;0.207;0.20;0.2065;"12/12/2023 17:35";CET;295932;59737.92;0.2065;12/12/2023
SPINEWAY;FR001400BVK2;ALSPW;"Euronext Growth Paris";EUR;0.0078;0.0092;0.0075;0.0084;"12/12/2023 17:17";CET;4595457;38555.88;0.0084;12/12/2023
SQLI;FR0011289040;SQI;"Euronext Paris";EUR;43.00;43.00;43.00;43.00;"12/12/2023 17:17";CET;146;6278.00;43.00;12/12/2023
"ST DUPONT";FR0000054199;DPT;"Euronext Paris";EUR;0.087;0.0936;0.087;0.0932;"12/12/2023 15:49";CET;2111;193.76;0.0932;12/12/2023
STEF;FR0000064271;STF;"Euronext Paris";EUR;105.40;105.80;104.80;105.80;"12/12/2023 17:35";CET;689;72603.20;105.80;12/12/2023
"STELLANTIS NV";NL00150001Q9;STLAP;"Euronext Paris";EUR;21.00;21.22;20.96;20.975;"12/12/2023 17:38";CET;1779870;37484025.32;20.975;12/12/2023
STMICROELECTRONICS;NL0000226223;STMPA;"Euronext Paris";EUR;44.855;44.90;44.375;44.54;"12/12/2023 17:35";CET;1270605;56638469.71;44.54;12/12/2023
"STRADIM ESPAC.FIN";FR0000074775;ALSAS;"Euronext Growth Paris";EUR;6.35;6.35;6.35;6.35;"11/12/2023 14:04";CET;100;635.00;6.35;12/12/2023
STREAMWIDE;FR0010528059;ALSTW;"Euronext Growth Paris";EUR;20.30;20.30;20.20;20.20;"12/12/2023 16:29";CET;133;2686.70;20.20;12/12/2023
"STREAMWIDE BS25";FR001400DG11;STWBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"STREAMWIDE BS25-2";FR001400DGA0;STRBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"STREIT MECANIQUE";FR0000063976;MLSTR;"Euronext Access Paris";EUR;9.55;9.55;9.55;9.55;"11/12/2023 16:30";CET;3;28.65;9.55;12/12/2023
"SUMO RESOURCES PLC";GB00B8GJBS16;MLSUM;"Euronext Access Paris";EUR;0.007;0.007;0.007;0.007;"11/12/2023 16:30";CET;12092;84.64;0.007;12/12/2023
"SWORD GROUP";FR0004180578;SWP;"Euronext Paris";EUR;38.30;38.30;37.85;38.25;"12/12/2023 17:35";CET;4884;186055.75;38.25;12/12/2023
SYENSQO;BE0974464977;SYENS;"Euronext Brussels, Paris";EUR;98.00;106.40;97.60;105.32;"12/12/2023 17:39";CET;904070;93831568.85;105.32;12/12/2023
SYNERGIE;FR0000032658;SDG;"Euronext Paris";EUR;30.70;31.00;30.60;30.70;"12/12/2023 17:35";CET;5031;155283.60;30.70;12/12/2023
TARKETT;FR0004188670;TKTT;"Euronext Paris";EUR;9.00;9.10;8.72;9.10;"12/12/2023 17:35";CET;4577;40682.68;9.10;12/12/2023
TATATU;IT0005507857;ALTTU;"Euronext Growth Paris";EUR;6.42;6.42;6.42;6.42;"12/12/2023 11:30";CET;1;6.42;6.42;12/12/2023
TAYNINH;FR0000063307;TAYN;"Euronext Paris";EUR;1.21;1.21;1.21;1.21;"24/10/2023 11:30";CET;5;6.05;1.21;12/12/2023
"TECHNICOLOR CS";FR001400I939;TCHCS;"Euronext Paris";EUR;1.62;1.63;1.62;1.62;"12/12/2023 17:35";CET;845;1370.86;1.62;12/12/2023
"TECHNIP ENERGIES";NL0014559478;TE;"Euronext Paris";EUR;20.46;20.66;20.11;20.12;"12/12/2023 17:36";CET;625210;12636238.03;20.12;12/12/2023
TELEPERFORMANCE;FR0000051807;TEP;"Euronext Paris";EUR;118.40;120.50;117.55;117.60;"12/12/2023 17:35";CET;200772;23816884.00;117.60;12/12/2023
TELEVERBIER;CH0008175645;TVRB;"Euronext Paris";EUR;47.60;47.60;47.60;47.60;"08/12/2023 11:30";CET;2;95.20;47.60;12/12/2023
TELEVISTA;FR0011076595;MLVST;"Euronext Access Paris";EUR;3.62;3.62;3.62;3.62;"26/10/2023 11:30";CET;10;36.20;3.62;12/12/2023
TERACT;FR001400BMH7;TRACT;"Euronext Paris";EUR;2.40;2.40;2.26;2.35;"12/12/2023 17:37";CET;3943;9099.71;2.35;12/12/2023
"TERACT BS";FR0014000TB2;TERBS;"Euronext Paris";EUR;0.01;0.015;0.01;0.01;"08/12/2023 12:25";CET;144000;1640.00;0.01;12/12/2023
TF1;FR0000054900;TFI;"Euronext Paris";EUR;7.22;7.245;7.07;7.075;"12/12/2023 17:35";CET;50610;360198.15;7.075;12/12/2023
"TFF GROUP";FR0013295789;TFF;"Euronext Paris";EUR;40.30;40.40;39.70;39.90;"12/12/2023 17:35";CET;1840;73543.20;39.90;12/12/2023
THALES;FR0000121329;HO;"Euronext Paris";EUR;136.00;137.45;135.60;137.45;"12/12/2023 17:35";CET;192724;26359773.45;137.45;12/12/2023
"THE AZUR SELECTION";GRS528003007;MLAZR;"Euronext Access Paris";EUR;3.10;3.20;3.10;3.20;"12/12/2023 17:28";CET;1006;3218.00;3.20;12/12/2023
"THE BLOCKCHAIN GP";FR0011053636;ALTBG;"Euronext Growth Paris";EUR;0.104;0.104;0.10;0.10;"16/11/2023 17:35";CET;96771;9815.47;0.10;12/12/2023
THERACLION;FR0010120402;ALTHE;"Euronext Growth Paris";EUR;0.361;0.364;0.35;0.35;"12/12/2023 17:23";CET;12200;4387.25;0.35;12/12/2023
THERADIAG;FR0004197747;ALTER;"Euronext Growth Paris";EUR;1.455;1.455;1.455;1.455;"12/12/2023 09:00";CET;1;1.46;1.455;12/12/2023
THERANEXUS;FR0013286259;ALTHX;"Euronext Growth Paris";EUR;1.154;1.186;1.15;1.178;"12/12/2023 17:22";CET;3624;4226.40;1.178;12/12/2023
THERAVET;BE0974387194;ALVET;"Euronext Growth Paris, Brussels";EUR;1.53;1.53;1.405;1.49;"12/12/2023 17:35";CET;1252;1828.62;1.49;12/12/2023
"THERMADOR GROUPE";FR0013333432;THEP;"Euronext Paris";EUR;79.00;79.30;77.00;78.50;"12/12/2023 17:35";CET;4344;339196.70;78.50;12/12/2023
"TIKEHAU CAPITAL";FR0013230612;TKO;"Euronext Paris";EUR;19.90;19.90;18.74;19.02;"12/12/2023 17:35";CET;31038;594937.90;19.02;12/12/2023
TIPIAK;FR0000066482;TIPI;"Euronext Paris";EUR;86.00;86.00;86.00;86.00;"12/12/2023 16:30";CET;10;860.00;86.00;12/12/2023
"TITAN CEMENT";BE0974338700;TITC;"Euronext Brussels, Paris";EUR;20.75;21.40;20.75;21.25;"12/12/2023 17:35";CET;14356;302161.80;21.25;12/12/2023
"TME PHARMA";NL0015000YE1;ALTME;"Euronext Growth Paris";EUR;0.32;0.3335;0.2655;0.2655;"12/12/2023 17:35";CET;128677;37270.43;0.2655;12/12/2023
"TONNER DRONES";FR001400H2X4;ALTD;"Euronext Growth Paris";EUR;0.36;0.36;0.35;0.35;"12/12/2023 17:25";CET;2645;928.70;0.35;12/12/2023
"TOOLUX SANDING";LU0394945660;ALTLX;"Euronext Growth Paris";EUR;2.30;2.30;2.30;2.30;"29/08/2022 16:30";CET;10;23.00;2.30;12/12/2023
TOOSLA;FR00140062B9;ALTOO;"Euronext Growth Paris";EUR;0.73;0.80;0.70;0.77;"12/12/2023 17:22";CET;19331;14480.60;0.77;12/12/2023
TOTALENERGIES;FR0000120271;TTE;"Euronext Paris, Brussels";EUR;61.90;62.59;61.27;61.31;"12/12/2023 17:39";CET;4042135;249036407.71;61.31;12/12/2023
TotalEnergiesGabon;GA0000121459;EC;"Euronext Paris";EUR;156.00;159.80;156.00;157.00;"12/12/2023 16:37";CET;194;30546.00;157.00;12/12/2023
TOUAX;FR0000033003;TOUP;"Euronext Paris";EUR;5.24;5.26;5.18;5.18;"12/12/2023 17:35";CET;1415;7364.80;5.18;12/12/2023
"TOUR EIFFEL";FR0000036816;EIFF;"Euronext Paris";EUR;12.90;12.90;12.50;12.60;"12/12/2023 16:51";CET;2335;29467.30;12.60;12/12/2023
"TRAMWAYS DE ROUEN";FR0000031866;MLTRA;"Euronext Access Paris";EUR;5600.00;5600.00;5600.00;5600.00;"08/12/2023 16:30";CET;1;5600.00;5600.00;12/12/2023
TRANSGENE;FR0005175080;TNG;"Euronext Paris";EUR;1.412;1.426;1.41;1.414;"12/12/2023 17:35";CET;6697;9476.24;1.414;12/12/2023
TRIGANO;FR0005691656;TRI;"Euronext Paris";EUR;140.10;140.40;136.40;136.50;"12/12/2023 17:35";CET;19858;2728827.50;136.50;12/12/2023
TRILOGIQ;FR0010397901;ALTRI;"Euronext Growth Paris";EUR;4.72;4.76;4.72;4.76;"12/12/2023 16:30";CET;649;3067.44;4.76;12/12/2023
"TROC ILE";FR0000031106;MLTRO;"Euronext Access Paris";EUR;2.34;2.34;2.34;2.34;"07/12/2023 16:30";CET;149;348.66;2.34;12/12/2023
TRONICS;FR0004175099;ALTRO;"Euronext Growth Paris";EUR;3.20;3.20;3.20;3.20;"21/11/2023 11:30";CET;148;473.60;3.20;12/12/2023
TTI;FR0010383877;ALTTI;"Euronext Growth Paris";EUR;8.00;8.00;8.00;8.00;"12/12/2023 16:30";CET;511;4088.00;8.00;12/12/2023
TXCOM;FR0010654087;ALTXC;"Euronext Growth Paris";EUR;11.50;11.50;11.50;11.50;"11/12/2023 11:30";CET;267;3070.50;11.50;12/12/2023
"U10 CORP";FR0000079147;ALU10;"Euronext Growth Paris";EUR;1.045;1.045;1.01;1.01;"12/12/2023 09:20";CET;71;71.75;1.01;12/12/2023
"UBISOFT ENTERTAIN";FR0000054470;UBI;"Euronext Paris";EUR;24.03;24.06;23.11;23.32;"12/12/2023 17:37";CET;536139;12546400.71;23.32;12/12/2023
"UCAPITAL GLOBAL";GB00BJ9M4V82;MLALE;"Euronext Access Paris";EUR;0.75;0.75;0.75;0.75;"10/11/2023 16:30";CET;500;375.00;0.75;12/12/2023
"UMALIS GROUP";FR0011776889;MLUMG;"Euronext Access Paris";EUR;2.40;2.40;2.40;2.40;"07/12/2023 16:30";CET;616;1478.40;2.40;12/12/2023
UNIBAIL-RODAMCO-WE;FR0013326246;URW;"Euronext Paris";EUR;64.24;64.52;62.12;62.64;"12/12/2023 17:35";CET;557898;35107887.90;62.64;12/12/2023
UNIBEL;FR0000054215;UNBL;"Euronext Paris";EUR;1010.00;1010.00;1010.00;1010.00;"12/12/2023 16:38";CET;6;6060.00;1010.00;12/12/2023
"UNION TECH.INFOR.";FR0000074197;FPG;"Euronext Paris";EUR;0.535;0.535;0.53;0.53;"12/12/2023 17:29";CET;1054;558.68;0.53;12/12/2023
UNITI;FR0012709160;ALUNT;"Euronext Growth Paris";EUR;1.89;1.89;1.89;1.89;"12/12/2023 09:00";CET;1;1.89;1.89;12/12/2023
UPERGY;FR0010337865;ALUPG;"Euronext Growth Paris";EUR;1.70;1.70;1.70;1.70;"12/12/2023 14:59";CET;5;8.50;1.70;12/12/2023
"UV GERMI";FR0011898584;ALUVI;"Euronext Growth Paris";EUR;3.13;3.13;2.90;2.99;"12/12/2023 17:35";CET;5556;16561.15;2.99;12/12/2023
VALBIOTIS;FR0013254851;ALVAL;"Euronext Growth Paris";EUR;4.90;5.08;4.72;4.80;"12/12/2023 17:36";CET;336028;1631400.31;4.80;12/12/2023
VALEO;FR0013176526;FR;"Euronext Paris";EUR;14.005;14.005;13.215;13.255;"12/12/2023 17:35";CET;1806853;24227000.49;13.255;12/12/2023
"VALERIO TX";FR0010095596;ALVIO;"Euronext Growth Paris";EUR;0.1705;0.174;0.1705;0.1705;"12/12/2023 17:06";CET;71882;12356.70;0.1705;12/12/2023
VALLOUREC;FR0013506730;VK;"Euronext Paris";EUR;12.755;12.80;12.38;12.47;"12/12/2023 17:35";CET;1075121;13447775.89;12.47;12/12/2023
"VALLOUREC BSA 21";FR00140030K7;VKBS;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;-;-
VALNEVA;FR0004056851;VLA;"Euronext Paris";EUR;5.05;5.05;4.80;4.80;"12/12/2023 17:36";CET;513225;2506039.82;4.80;12/12/2023
"VANDOR REAL ESTATE";ES0105623005;MLVRE;"Euronext Access Paris";EUR;6.00;6.00;6.00;6.00;"16/12/2021 00:00";CET;-;-;6.00;12/12/2023
VANTIVA;FR0013505062;VANTI;"Euronext Paris";EUR;0.1042;0.1138;0.1042;0.108;"12/12/2023 17:35";CET;269639;29115.14;0.108;12/12/2023
"VANTIVA BSA 2024";FR0013526225;VANBS;"Euronext Paris";EUR;0.0008;0.0008;0.0008;0.0008;"12/12/2023 17:23";CET;2094;1.67;0.0008;12/12/2023
VAZIVA;FR0014007T10;MLVAZ;"Euronext Access Paris";EUR;26.40;26.40;26.40;26.40;"12/12/2023 16:30";CET;105;2772.00;26.40;12/12/2023
"VENTE UNIQUE.COM";FR0010766667;ALVU;"Euronext Growth Paris";EUR;12.30;12.30;11.60;11.85;"12/12/2023 16:31";CET;6093;72509.80;11.85;12/12/2023
"VEOLIA ENVIRON.";FR0000124141;VIE;"Euronext Paris";EUR;29.50;29.62;29.17;29.17;"12/12/2023 17:37";CET;1774488;51929507.58;29.17;12/12/2023
"VEOM GROUP";FR0013530102;ALVG;"Euronext Growth Paris";EUR;0.35;0.358;0.35;0.35;"12/12/2023 16:59";CET;1706;597.71;0.35;12/12/2023
VERALLIA;FR0013447729;VRLA;"Euronext Paris";EUR;33.78;33.78;33.36;33.44;"12/12/2023 17:35";CET;100283;3357657.56;33.44;12/12/2023
VERGNET;FR001400JXA2;ALVER;"Euronext Growth Paris";EUR;1.60;1.60;1.40;1.402;"12/12/2023 17:35";CET;27804;40989.88;1.402;12/12/2023
VERIMATRIX;FR0010291245;VMX;"Euronext Paris";EUR;0.397;0.3985;0.3965;0.397;"12/12/2023 17:35";CET;27797;11037.98;0.397;12/12/2023
"VERNEY CARRON";FR0006174496;MLVER;"Euronext Access Paris";EUR;7.20;7.20;7.20;7.20;"12/12/2023 16:30";CET;283;2037.60;7.20;12/12/2023
VERSITY;FR0014003I41;MLVSY;"Euronext Access Paris";EUR;0.90;0.99;0.90;0.99;"12/09/2023 16:30";CET;13195;12226.05;0.99;12/12/2023
VETOQUINOL;FR0004186856;VETO;"Euronext Paris";EUR;90.80;91.30;89.50;90.10;"12/12/2023 17:35";CET;4077;366621.50;90.10;12/12/2023
VIALIFE;FR0010326090;ALVIA;"Euronext Growth Paris";EUR;12.80;12.80;12.80;12.80;"12/12/2023 11:30";CET;1;12.80;12.80;12/12/2023
VICAT;FR0000031775;VCT;"Euronext Paris";EUR;32.60;33.35;32.60;33.25;"12/12/2023 17:35";CET;25827;855347.60;33.25;12/12/2023
"VIEL ET COMPAGNIE";FR0000050049;VIL;"Euronext Paris";EUR;8.14;8.14;8.00;8.12;"12/12/2023 17:35";CET;6156;49889.30;8.12;12/12/2023
VINCI;FR0000125486;DG;"Euronext Paris";EUR;115.98;116.36;114.94;115.40;"12/12/2023 17:35";CET;864246;99827479.94;115.40;12/12/2023
VINPAI;FR001400AXT1;ALVIN;"Euronext Growth Paris";EUR;5.68;5.68;5.66;5.66;"12/12/2023 17:03";CET;69;390.92;5.66;12/12/2023
VIRBAC;FR0000031577;VIRP;"Euronext Paris";EUR;301.00;301.00;295.00;295.50;"12/12/2023 17:35";CET;3350;992252.50;295.50;12/12/2023
VIRTUALWARE;ES0105704003;MLVIR;"Euronext Access Paris";EUR;7.50;7.50;7.50;7.50;"09/11/2023 11:30";CET;66;495.00;7.50;12/12/2023
VISIATIV;FR0004029478;ALVIV;"Euronext Growth Paris";EUR;23.60;23.90;23.50;23.70;"12/12/2023 16:50";CET;3121;73845.70;23.70;12/12/2023
"VISIATIV BS";FR0014003O76;VIVBS;"Euronext Growth Paris";EUR;0.80;0.80;0.80;0.80;"28/07/2023 12:20";CET;195;156.00;0.80;12/12/2023
"VISIOMED GROUP";FR0013481835;ALVMG;"Euronext Growth Paris";EUR;0.30;0.306;0.2952;0.3048;"12/12/2023 17:25";CET;228357;68972.28;0.3048;12/12/2023
VITURA;FR0010309096;VTR;"Euronext Paris";EUR;13.00;13.00;13.00;13.00;"12/12/2023 09:34";CET;93;1209.00;13.00;12/12/2023
"VIVENDI SE";FR0000127771;VIV;"Euronext Paris";EUR;9.00;9.11;8.90;8.90;"12/12/2023 17:38";CET;1657332;14838666.66;8.90;12/12/2023
VOGO;FR0011532225;ALVGO;"Euronext Growth Paris";EUR;4.21;4.36;4.11;4.36;"12/12/2023 15:58";CET;4665;19668.15;4.36;12/12/2023
VOLTALIA;FR0011995588;VLTSA;"Euronext Paris";EUR;8.35;8.35;8.01;8.01;"12/12/2023 17:36";CET;160689;1312323.61;8.01;12/12/2023
"VOYAGEURS DU MONDE";FR0004045847;ALVDM;"Euronext Growth Paris";EUR;115.50;117.00;115.00;115.50;"12/12/2023 17:23";CET;788;91158.50;115.50;12/12/2023
VRANKEN-POMMERY;FR0000062796;VRAP;"Euronext Paris, Brussels";EUR;15.95;15.95;15.70;15.90;"12/12/2023 15:51";CET;1332;21088.90;15.90;12/12/2023
"VREF SEVILLE";ES0105492005;MLVRF;"Euronext Access Paris";EUR;3.75;3.75;3.75;3.75;"30/07/2020 00:00";CET;-;-;3.76;12/12/2023
"WAGA ENERGY";FR0012532810;WAGA;"Euronext Paris";EUR;23.00;23.00;21.80;23.00;"12/12/2023 17:35";CET;4077;91412.05;23.00;12/12/2023
WALLIX;FR0010131409;ALLIX;"Euronext Growth Paris";EUR;8.86;9.24;8.86;9.23;"12/12/2023 17:35";CET;2590;23481.48;9.23;12/12/2023
